                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6309,                  4.921,                 4.5382,                0.00069,                0.04301,                0.00039,                  7e-05,                 4.0113,                 4.2889,                 4.1589,             0.00012861,             0.00012861,             0.00012861
                      2,                 3.5223,                 4.5973,                 4.3281,                 0.0007,                0.04301,                0.00044,                  8e-05,                  4.009,                 4.2966,                 4.1585,             0.00024463,             0.00024463,             0.00024463
                      3,                 3.6151,                 4.2084,                 4.1956,                0.00083,                0.04946,                0.00057,                 0.0001,                 4.0065,                 4.3085,                 4.1607,             0.00033236,             0.00033236,             0.00033236
                      4,                 3.3014,                 3.6492,                 4.0194,                 0.0011,                0.18925,                0.00099,                0.00026,                 4.0062,                 4.2971,                 4.1655,             0.00039179,             0.00039179,             0.00039179
                      5,                 3.0246,                 3.1328,                 3.7887,                0.00102,                0.18925,                0.00106,                0.00026,                 4.0067,                 4.2717,                 4.1755,             0.00042293,             0.00042293,             0.00042293
                      6,                 2.8764,                 2.8752,                 3.6286,                0.00074,                0.05376,                0.00126,                0.00016,                 4.0245,                  4.314,                 4.2029,             0.00042577,             0.00042577,             0.00042577
                      7,                 2.7473,                 2.6833,                 3.4712,                0.00085,                0.04946,                0.00179,                0.00022,                 4.0431,                 4.3508,                 4.2318,             0.00040032,             0.00040032,             0.00040032
                      8,                 2.5626,                 2.4645,                 3.2984,                0.00079,                0.04731,                0.00096,                0.00013,                 4.0489,                 4.3623,                 4.2425,             0.00034658,             0.00034658,             0.00034658
                      9,                 2.5414,                 2.3624,                 3.1728,                0.00086,                0.05161,                0.00109,                0.00014,                 4.0481,                 4.3774,                 4.2481,             0.00026454,             0.00026454,             0.00026454
                     10,                 2.5072,                 2.2611,                 3.1788,                0.00083,                0.04946,                0.00146,                0.00017,                 4.0131,                 4.3238,                 4.2167,              0.0001542,              0.0001542,              0.0001542
