                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8829,                 4.6359,                 4.3901,                0.00076,                0.04545,                0.00044,                  9e-05,                 4.0534,                 4.2826,                 4.1591,             0.00011432,             0.00011432,             0.00011432
                      2,                 3.7724,                 4.3487,                 4.2959,                0.00141,                0.16667,                0.00112,                0.00032,                 4.0505,                 4.2836,                 4.1584,              0.0002309,              0.0002309,              0.0002309
                      3,                 3.5298,                 4.0176,                 4.2278,                0.00099,                0.18182,                0.00104,                0.00028,                 4.0475,                 4.2879,                 4.1582,             0.00033476,             0.00033476,             0.00033476
                      4,                 3.5469,                  3.414,                 4.0738,                0.00099,                0.18182,                0.00094,                0.00028,                 4.0427,                 4.2941,                 4.1589,             0.00042588,             0.00042588,             0.00042588
                      5,                 3.3029,                 2.9686,                 3.9438,                0.00109,                0.19697,                 0.0012,                 0.0003,                 4.0344,                 4.2706,                 4.1601,             0.00050427,             0.00050427,             0.00050427
                      6,                 3.0587,                 2.5691,                 3.6432,                0.00099,                0.18182,                0.00144,                0.00031,                  4.037,                 4.3231,                 4.1733,             0.00056992,             0.00056992,             0.00056992
                      7,                 2.8361,                 2.4503,                 3.4288,                0.00138,                0.18182,                0.00162,                0.00044,                 4.0251,                 4.3006,                 4.1683,             0.00062284,             0.00062284,             0.00062284
                      8,                 2.7534,                 2.2273,                 3.2996,                0.00092,                0.19697,                0.00264,                0.00066,                 4.0048,                 4.2628,                 4.1402,             0.00066303,             0.00066303,             0.00066303
                      9,                 2.7198,                  2.249,                 3.2352,                0.00263,                0.10606,                 0.0029,                0.00062,                  3.991,                 4.2509,                 4.1149,             0.00069049,             0.00069049,             0.00069049
                     10,                 2.4648,                 2.1698,                  3.045,                0.00074,                 0.0303,                0.00163,                0.00033,                 3.9874,                 4.2687,                 4.1192,             0.00070522,             0.00070522,             0.00070522
